Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
1200 Block of 34th  Ave.,San Francisco,CA,94122,12/17/1997,Sunset/Parkside,"(37.7637900576742, -122.493333870995)"
1700 Block of Golden Gate  Ave.,San Francisco,CA,94115,12/17/1997,Western Addition,"(37.7786720143221, -122.43939382488)"
100 Block of Victoria  St.,San Francisco,CA,94132,12/17/1997,Oceanview/Merced/Ingleside,"(37.7136151598056, -122.465362816661)"
500 Block of Moscow  St.,san Francisco,CA,94112,12/17/1997,Excelsior,"(37.7189576971799, -122.429450724612)"
2100 Block of Bay   St.,San Francisco,CA,94123,12/16/1997,Marina,"(37.8018900895028, -122.442380293059)"
200 Block of Beverly  St.,San Francisco,CA,94132,12/16/1997,Oceanview/Merced/Ingleside,"(37.7206361755267, -122.471593702665)"
200 Block of Beverly  St.,San Francisco,CA,94132,12/16/1997,Oceanview/Merced/Ingleside,"(37.7206361755267, -122.471593702665)"
2100 Block of Bay  St.,San Francisco,CA,94123,12/16/1997,Marina,"(37.8018900895028, -122.442380293059)"
200 Block of 10th  Ave.,San Francisco,CA,94118,12/15/1997,Inner Richmond,"(37.7836890584252, -122.468703013781)"
2000 Block of Bayshore  Boulevard,San Francisco,CA,94134,12/15/1997,Visitacion Valley,"(37.7141809472542, -122.399766788061)"
200 Block of Rose  St.,San Francisco,CA,94102,12/15/1997,Hayes Valley,"(37.7732479547341, -122.424798033885)"
800 Block of Waller  St.,San Francisco,CA,94117,12/15/1997,Haight Ashbury,"(37.770332473083, -122.437337332353)"
3200 Block of Mission  St.,San Francisco,CA,94107,12/15/1997,Bernal Heights,"(37.7447384332418, -122.42051792069)"
800 Block of Waller  St.,San Francisco,CA,94117,12/15/1997,Haight Ashbury,"(37.770332473083, -122.437337332353)"
1300 Block of Natoma  St.,San Francisco,CA,94110,12/15/1997,Mission,"(37.7675554714285, -122.41854832723)"
200 Block of Ellsworth  St.,San Francisco,CA,94110,12/15/1997,Bernal Heights,"(37.7395905501268, -122.414538486898)"
300 Block of Coleridge  St.,San Francisco,CA,94110,12/12/1997,Bernal Heights,"(37.7415571613412, -122.421183411999)"
300 Block of London  St.,San Francisco,CA,94112,12/11/1997,Excelsior,"(37.7235117573509, -122.434561678614)"
1700 Block of Balboa  St.,San Francisco,CA,94121,12/11/1997,Outer Richmond,"(37.7765647505047, -122.477495096786)"
2500 Block of 14th  Ave.,San Francisco,CA,94127,12/11/1997,West of Twin Peaks,"(37.7404916846926, -122.470109127233)"
300 Block of London  St.,San Francisco,CA,94112,12/11/1997,Excelsior,"(37.7235117573509, -122.434561678614)"
800 Block of 14th  St.,SAn Francisco,CA,94114,12/10/1997,Castro/Upper Market,"(37.7675070760574, -122.431739942112)"
800 Block of 34th  Ave.,San Francisco,CA,94121,12/10/1997,Outer Richmond,"(37.773065920351, -122.493831266406)"
200 Block of Jules  Ave.,San Francisco,CA,94112,12/10/1997,Oceanview/Merced/Ingleside,"(37.7227365859228, -122.461315538552)"
200 Block of Randall  St.,San Francisco,CA,94131,12/10/1997,Glen Park,"(37.7404819672105, -122.429247793287)"
900 Block of Baker  St.,San Francisco,CA,94115,12/10/1997,Lone Mountain/USF,"(37.7795342255905, -122.441845517176)"
100 Block of Louisburg  St.,San Francisco,CA,94112,12/10/1997,Oceanview/Merced/Ingleside,"(37.7211419971656, -122.44976118876)"
200 Block of Jules  Ave.,San Francisco,CA,94112,12/10/1997,Oceanview/Merced/Ingleside,"(37.7227365859228, -122.461315538552)"
2400 Block of Vallejo  St.,San Francisco,CA,94123,12/10/1997,Pacific Heights,"(37.7949657321755, -122.437592698389)"
400 Block of Andover  St.,San Francisco,CA,94110,12/10/1997,Bernal Heights,"(37.7374542944744, -122.416524765193)"
1800 Block of Pacific  Ave.,San Francisco,CA,94109,12/09/1997,Pacific Heights,"(37.7944481957974, -122.425681947882)"
1200 Block of 4th  Ave.,San Francisco,CA,94107,12/08/1997,Inner Sunset,"(37.7656821711767, -122.461125417494)"
3500 Block of 23rd  St.,San Francisco,CA,94110,12/08/1997,Mission,"(37.7535600538577, -122.422267919472)"
500 Block of Moscow  St.,San Francisco,CA,94112,12/08/1997,Excelsior,"(37.7189576971799, -122.429450724612)"
2100 Block of 27th  Ave.,San Francisco,CA,94116,12/08/1997,Sunset/Parkside,"(37.7473313111311, -122.484657780749)"
4300 Block of Geary  Boulevard,San Francisco,CA,94102,12/08/1997,Inner Richmond,"(37.7810718785571, -122.465894139124)"
500 Block of Corbett  St.,San Francisco,CA,94114,12/08/1997,Castro/Upper Market,"(37.7574340530744, -122.444098479979)"
1200 Block of 4th  Ave.,San Francisco,CA,94107,12/08/1997,Inner Sunset,"(37.7656821711767, -122.461125417494)"
3500 Block of 23rd  St.,San Francisco,CA,94110,12/08/1997,Mission,"(37.7535600538577, -122.422267919472)"
1200 Block of 4th  Ave.,San Francisco,CA,94107,12/08/1997,Inner Sunset,"(37.7656821711767, -122.461125417494)"
200 Block of Allison  St.,San Francisco,CA,94127,12/08/1997,Excelsior,"(37.7117773959927, -122.441441541258)"
1500 Block of Fulton  St.,San Francisco,CA,94117,12/08/1997,Lone Mountain/USF,"(37.7762763026448, -122.442299447306)"
800 Block of Foerster  St.,San Francisco,CA,94127,12/08/1997,West of Twin Peaks,"(37.7360453964523, -122.447249478669)"
0 Block of Surrey  St.,San Francisco,CA,94131,12/08/1997,Glen Park,"(37.7349903416621, -122.432892827846)"
1500 Block of Hampshire  St.,San Francisco,CA,94110,12/08/1997,Bernal Heights,"(37.7483338842525, -122.406452611142)"
300 Block of Duncan  St.,San Francisco,CA,94131,12/08/1997,Noe Valley,"(37.7460841691265, -122.428009132349)"
2600 Block of Greenwich  St.,San Francisco,CA,94123,12/05/1997,Marina,"(37.7979514348226, -122.443292158405)"
300 Block of Liberty  St.,San Francisco,CA,94114,12/05/1997,Castro/Upper Market,"(37.7573224532734, -122.429051968676)"
2600 Block of Greenwich  St.,San Francisco,CA,94123,12/05/1997,Marina,"(37.7979514348226, -122.443292158405)"
400 Block of Kirkham  St.,San Francisco,CA,94122,12/04/1997,Inner Sunset,"(37.7602801684841, -122.465511904243)"
4200 Block of 24th  St.,San Francisco,CA,94114,12/04/1997,Noe Valley,"(37.7511432504178, -122.437391428716)"
1700 Block of Bryant  St.,San Francisco,CA,94110,12/03/1997,Mission,"(37.764953787714, -122.410494213792)"
700 Block of 10th  Ave.,San Francisco,CA,94118,12/02/1997,Inner Richmond,"(37.7742357904705, -122.468160260684)"
800 Block of 37th  Ave.,San Francisco,CA,94121,12/02/1997,Outer Richmond,"(37.7729126582249, -122.497183859602)"
100 Block of Pixley  St.,San Francisco,CA,94123,12/02/1997,Marina,"(37.7986458832874, -122.434962257904)"
3800 Block of 23rd  St.,San Francisco,CA,94114,12/02/1997,Noe Valley,"(37.7532304377485, -122.429526158484)"
1900 Block of Clay  St.,San Francisco,CA,94109,12/02/1997,Pacific Heights,"(37.7918069121326, -122.425149392347)"
3800 Block of 23rd  St.,San Francisco,CA,94114,12/02/1997,Noe Valley,"(37.7532304377485, -122.429526158484)"
300 Block of Goldmine  Dr.,San Francisco,CA,94131,12/02/1997,Glen Park,"(37.7400626770465, -122.438681725496)"
3800 Block of 19th  St.,San Francisco,CA,94114,12/02/1997,Castro/Upper Market,"(37.7596793164096, -122.429316589168)"
0 Block of Varennes  St.,San Francisco,CA,94133,12/01/1997,North Beach,"(37.8002784539857, -122.406638055326)"
2000 Block of Bush  St.,San Francisco,CA,94115,12/01/1997,Pacific Heights,"(37.7873900851763, -122.431001780672)"
200 Block of 22nd  Ave.,San Francisco,CA,94121,12/01/1997,Outer Richmond,"(37.7830973889864, -122.481656431959)"
0 Block of Dolores  St.,San Francisco,CA,94103,12/01/1997,Mission,"(37.768422970588, -122.426590385771)"
0 Block of Dolores  St.,San Francisco,CA,94103,12/01/1997,Mission,"(37.768422970588, -122.426590385771)"
100 Block of Eastwood  Dr.,San Francisco,CA,94112,12/01/1997,West of Twin Peaks,"(37.7284181600531, -122.457375298535)"
100 Block of Pierce  St.,San Francisco,CA,94117,12/01/1997,Haight Ashbury,"(37.7712304093712, -122.433572636022)"
200 Block of 22nd  Ave.,San Francisco,CA,94121,12/01/1997,Outer Richmond,"(37.7830973889864, -122.481656431959)"
1500 Block of 10th  Ave.,San Francisco,CA,94118,12/01/1997,Inner Sunset,"(37.759328089828, -122.467126225901)"
700 Block of Central  Ave.,San Francisco,CA,94117,11/26/1997,Lone Mountain/USF,"(37.7764956732693, -122.444804893148)"
100 Block of Del Vale  Ave.,San Francisco,CA,94127,11/26/1997,West of Twin Peaks,"(37.7410104107805, -122.447086821529)"
3500 Block of 17th  St.,San Francisco,CA,94110,11/26/1997,Mission,"(37.7630445846005, -122.42508861764)"
400 Block of Lansdale  Ave.,San Francisco,CA,94127,11/26/1997,West of Twin Peaks,"(37.7360117947703, -122.456086256624)"
900 Block of Wisconsin  St.,San Francisco,CA,94107,11/26/1997,Potrero Hill,"(37.7552972348243, -122.398677581751)"
3000 Block of Baker  St.,San Francisco,CA,94123,11/25/1997,Marina,"(37.7990997208991, -122.44599913134)"
500 Block of Grand View  Ave.,San Francisco,CA,94114,11/25/1997,Noe Valley,"(37.7511853620245, -122.442744572086)"
300 Block of Richland  Ave.,San Francisco,CA,94110,11/25/1997,Bernal Heights,"(37.7357456024956, -122.418457095323)"
0 Block of Caselli  Ave.,San Francisco,CA,94114,11/25/1997,Castro/Upper Market,"(37.7598044512054, -122.440170484932)"
1100 Block of De Haro  St.,San Francisco,CA,94107,11/24/1997,Potrero Hill,"(37.755902588353, -122.400816594514)"
2000 Block of Gough  St.,San Francisco,CA,94109,11/24/1997,Pacific Heights,"(37.7922040278353, -122.4260002578)"
100 Block of College  Ave.,San Francisco,CA,94112,11/24/1997,Bernal Heights,"(37.7354576397053, -122.42648021217)"
1100 Block of De Haro  St.,San Francisco,CA,94107,11/24/1997,Potrero Hill,"(37.755902588353, -122.400816594514)"
2000 Block of Gough  St.,San Francisco,CA,94109,11/24/1997,Pacific Heights,"(37.7922040278353, -122.4260002578)"
400 Block of Lyon  St.,San Francisco,CA,94117,11/24/1997,Lone Mountain/USF,"(37.7748359370912, -122.442781840132)"
500 Block of 41st  Ave.,San Francisco,CA,94121,11/24/1997,Outer Richmond,"(37.778349169362, -122.501732853709)"
1300 Block of Masonic  Ave.,San Francisco,Ca,94117,11/24/1997,Haight Ashbury,"(37.7683463777716, -122.444987081535)"
200 Block of Romain  St.,San Francisco,CA,94131,11/24/1997,Twin Peaks,"(37.7558370150167, -122.442123219435)"
1900 Block of Grove  St.,San Francisco,CA,94117,11/24/1997,Lone Mountain/USF,"(37.7746178643222, -122.44870847252)"
1600 Block of 24th  Ave.,San Francisco,CA,94122,11/21/1997,Sunset/Parkside,"(37.7567983540723, -122.482094455461)"
3600 Block of 22nd  St.,San Francisco,CA,94114,11/21/1997,Noe Valley,"(37.754851415135, -122.429411068931)"
400 Block of 35th  Ave.,San Francisco,CA,94121,11/21/1997,Outer Richmond,"(37.7805557789246, -122.495589494229)"
1200 Block of Stanyan  St.,San Francisco,CA,94117,11/21/1997,Inner Sunset,"(37.7604839721027, -122.451687109744)"
100 Block of Midcrest  Way,San Francisco,CA,94131,11/20/1997,Twin Peaks,"(37.7492308505933, -122.44851892768)"
700 Block of 48th  Ave.,San Francisco,CA,94121,11/20/1997,Outer Richmond,"(37.7742460293538, -122.508955825349)"
100 Block of Guttenberg  St.,San Francisco,CA,94112,11/20/1997,Excelsior,"(37.7111697171855, -122.443592478633)"
100 Block of Midcrest  Way,San Francisco,CA,94131,11/20/1997,Twin Peaks,"(37.7492308505933, -122.44851892768)"
400 Block of 31st  Ave.,San Francisco,CA,94121,11/20/1997,Outer Richmond,"(37.7807577540279, -122.49130205421)"
2300 Block of 28th  Ave.,San Francisco,CA,94116,11/19/1997,Sunset/Parkside,"(37.7435624340068, -122.485331777458)"
2300 Block of 28th  Ave.,San Francisco,CA,94116,11/19/1997,Sunset/Parkside,"(37.7435624340068, -122.485331777458)"
