Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
200 Block of Texas  Street,San Francisco,CA,94107,06/19/2000,Potrero Hill,"(37.7632766022278, -122.395552822883)"
0 Block of Vicksburg  Street,San Francisco,CA,94114,06/15/2000,Noe Valley,"(37.7540244518026, -122.428841355687)"
1400 Block of Green  Street,San Francisco,CA,94109,06/15/2000,Russian Hill,"(37.7976665292791, -122.422959461747)"
1400 Block of Green  Street,San Francisco,CA,94109,06/15/2000,Russian Hill,"(37.7976665292791, -122.422959461747)"
600 Block of Buena Vista  Avenue Est,San Francisco,CA,94117,06/14/2000,Haight Ashbury,"(37.7672303095361, -122.443869427911)"
600 Block of Buena Vista  Avenue,San Francisco,CA,94117,06/14/2000,Haight Ashbury,"(37.7672303095361, -122.443869427911)"
3400 Block of Sacramento  Street,San Francisco,CA,94118,06/14/2000,Presidio Heights,"(37.7878174923202, -122.449468699163)"
600 Block of Buena Vista   Avenue West,San Francisco,CA,94117,06/14/2000,Haight Ashbury,"(37.7672303095361, -122.443869427911)"
600 Block of Buena Vista  Avenue West,San Francisco,CA,94117,06/14/2000,Haight Ashbury,"(37.7672303095361, -122.443869427911)"
3400 Block of Sacramento  Street,San Francisco,CA,94118,06/14/2000,Presidio Heights,"(37.7878174923202, -122.449468699163)"
600 Block of Buena Vista  Avenue West,San Francisco,CA,94117,06/14/2000,Haight Ashbury,"(37.7672303095361, -122.443869427911)"
100 Block of Corwin  Stret,San Francisco,CA,94114,06/12/2000,Twin Peaks,"(37.7576738664665, -122.440731582053)"
700 Block of Mason  Street,San Francisco,CA,94108,06/12/2000,Nob Hill,"(37.7901795723265, -122.41040968702)"
100 Block of Corwin  Street,San Francisco,CA,94114,06/12/2000,Twin Peaks,"(37.7576738664665, -122.440731582053)"
1300 Block of Baker  Street,San Francisco,CA,94115,06/12/2000,Presidio Heights,"(37.7833830058526, -122.442959504098)"
700 Block of Mason  Street,San Francisco,CA,94108,06/12/2000,Nob Hill,"(37.7901795723265, -122.41040968702)"
100 Block of Corwin  Street,San Francisco,CA,94114,06/12/2000,Twin Peaks,"(37.7576738664665, -122.440731582053)"
700 Block of Mason  Street,San Francisco,CA,94108,06/12/2000,Nob Hill,"(37.7901795723265, -122.41040968702)"
1300 Block of Baker  Street,San Francisco,CA,94115,06/12/2000,Presidio Heights,"(37.7833830058526, -122.442959504098)"
100 Block of Corwin  Street,San Francisco,CA,94114,06/12/2000,Twin Peaks,"(37.7576738664665, -122.440731582053)"
500 Block of Arkansas  Street,San Francisco,CA,94107,06/07/2000,Potrero Hill,"(37.7586382695722, -122.398023969477)"
500 Block of Arkansas  Street,San Francisco,CA,94107,06/07/2000,Potrero Hill,"(37.7586382695722, -122.398023969477)"
500 Block of Arkansas  Street,San Francisco,CA,94107,06/07/2000,Potrero Hill,"(37.7586382695722, -122.398023969477)"
1400 Block of Valencia  Street,San Francisco,CA,94110,06/01/2000,Mission,"(37.7497020110292, -122.420499334526)"
